response_id,best_experience_group_1,worst_experience_group_1,best_experience_group_2,worst_experience_group_2,best_experience_group_3,worst_experience_group_3,best_experience_group_4,worst_experience_group_4,best_experience_group_5,worst_experience_group_5,best_experience_group_6,worst_experience_group_6
55,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
56,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
57,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
58,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
59,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
60,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
61,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
62,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
63,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
64,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
65,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
66,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
67,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
68,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
69,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
70,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
71,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
72,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
73,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
74,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
75,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
76,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
77,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
78,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
79,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
80,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
81,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
82,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
83,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
84,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
85,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
86,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
87,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
88,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
89,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
90,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
91,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
92,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
93,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
94,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
95,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
96,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
97,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
98,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
99,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
100,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
101,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
102,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
103,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,Managing my personal commitments,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
104,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
105,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
106,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
107,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
108,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
109,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
110,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
111,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
112,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my family responsibilities,Managing my personal commitments,My mental wellbeing,My daily expenses,My daily expenses,Managing my personal commitments,Managing my personal commitments
