response_id,preferred_remote_time_after_covid,employer_encourage_remote_future,employer_support_remote_future,remote_work_choice_future,remote_productivity,commute_hours_office,work_hours_office,personal_family_hours_office,caring_hours_office,commute_hours_remote,work_hours_remote,personal_family_hours_remote,caring_hours_remote
16,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
17,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
18,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
19,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
20,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
21,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
22,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
23,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
24,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
25,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
26,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,1,0,0
27,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,2,0,0
28,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,2,0,0
29,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,2,0,0
30,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0,1,0,0,0,2,0,0
31,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,1,0,0,0,2,0,0
32,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,1,0,0,0,2,0,0
33,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,1,0,0,0,2,0,0
34,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,1.5,0,0,0,2,0,0
35,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,2,0,0,0,2,0,0
36,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,2,0,0,0,2,0.1,0
37,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.1,2,0,0,0,2,0.25,0
38,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.15,2,0,0,0,2,0.25,0
39,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
40,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
41,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
42,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
43,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
44,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
45,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
46,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
47,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.2,2,0,0,0,2,0.5,0
48,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,2,0.5,0
49,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,2,0.5,0
50,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,2,0.5,0
51,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,2,0.5,0
52,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,2.5,0.5,0
53,10%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,2.5,0.5,0
54,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,3,0.5,0
55,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,3,0.5,0
56,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,3,0.5,0
57,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,3,0.5,0
58,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0,0,0,3,0.5,0
59,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2,0.1,0,0,3,0.5,0
60,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.25,2.5,0.25,0,0,3,0.5,0
61,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.3,3,0.25,0,0,3,0.5,0
62,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.3,3,0.5,0,0,3,0.5,0
63,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.3,3,0.5,0,0,3,0.5,0
64,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.3,3,0.5,0,0,3,1,0
65,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.3,3,0.5,0,0,3,1,0
66,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.4,3,0.5,0,0,3,1,0
67,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.45,3,0.5,0,0,3,1,0
68,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.45,3,0.5,0,0,3,1,0
69,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
70,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
71,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
72,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
73,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
74,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
75,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
76,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
77,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3,1,0
78,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,3.5,1,0
79,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,4,1,0
80,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,4,1,0
81,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,3,0.5,0,0,4,1,0
82,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
83,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
84,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
85,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
86,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
87,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
88,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
89,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
90,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
91,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
92,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
93,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
94,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
95,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
96,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
97,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,0.5,4,0.5,0,0,4,1,0
98,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,0.5,0,0,4,1,0
99,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,0.5,0,0,4,1,0
100,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,0.5,0,0,4,1,0
101,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,0.5,0,0,4,1,0
102,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,0.5,0,0,4,1,0
103,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,0.75,0,0,4,1,0
104,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0
105,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0
106,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0
107,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.05
108,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.2
109,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.25
110,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.4
111,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.45
112,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.5
113,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.5
114,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.5
115,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4,1,0,0,4,1,0.5
116,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4.5,1,0,0,4,1,0.5
117,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4.5,1,0,0,4,1,0.5
118,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,4.5,1,0,0,4,1,0.5
119,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,4,1,0.5
120,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,4,1,0.5
121,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,4,1,0.5
122,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,4.5,1,0.5
123,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,4.5,1,0.5
124,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
125,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
126,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
127,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
128,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
129,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
130,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
131,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
132,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
133,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
134,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
135,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
136,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
137,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
138,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
139,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
140,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
141,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
142,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
143,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
144,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
145,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
146,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
147,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
148,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
149,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
150,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
151,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
152,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
153,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
154,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
155,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
156,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
157,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
158,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
159,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,0.5
160,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,1
161,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,1
162,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0,0,5,1,1
163,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.05,0,5,1,1
164,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.1,0,5,1,1
165,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1,1
166,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
167,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
168,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
169,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
170,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
171,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
172,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,1.5,1
173,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
174,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
175,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
176,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
177,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
178,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
179,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5,1,0.5,0,5,2,1
180,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5.5,1,0.5,0,5,2,1
181,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,5.5,1,0.5,0,5,2,1
182,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
183,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
184,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
185,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
186,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
187,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
188,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
189,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% more productive when working remotely,0.5,6,1,0.5,0,5,2,1
