response_id,birth_year,gender,industry,industry_detail,occupation,occupation_detail,company_size,is_manager,household_type,job_tenure,region_type
763,1974,Female,Wholesale Trade,Other Goods Wholesaling,Managers,"Hospitality, Retail and Service Managers",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
264,1987,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
657,1977,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1298,1961,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Legal, Social and Welfare Professionals",Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
330,1986,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Clerical and administrative ,Office Managers and Program Administrators,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
771,1974,Female,Financial and Insurance Services,Insurance and Superannuation Funds,Clerical and administrative ,Office Managers and Program Administrators,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
858,1972,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
366,1985,Male,Manufacturing,Printing (including the Reproduction of Recorded Media),Sales ,Sales Assistants and Salespersons,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
1047,1967,Male,Manufacturing,Fabricated Metal Product Manufacturing,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
326,1986,Male,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Representatives and Agents,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
625,1978,Female,Information Media and Telecommunications,Telecommunications Services,Sales ,Sales Representatives and Agents,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro
42,1995,Male,Construction,Building Construction,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
613,1978,Male,Construction,Building Construction,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
889,1971,Male,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1186,1964,Male,Other Services,Personal and Other Services,Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
833,1972,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,Between 20 and 199,Yes,Couple with dependent children,Between 1 and 5 years,Metro
392,1985,Male,Mining,Oil and Gas Extraction,Technicians and trades ,Automotive and Engineering Trades ,Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
615,1978,Female,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
101,1992,Female,Public Administration and Safety,Public Administration,Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
377,1985,Male,Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Professionals,"Business, Human Resource and Marketing Professionals",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
263,1988,Male,Wholesale Trade,Basic Material Wholesaling,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
183,1990,Male,Construction,Building Construction,Managers,"Chief Executives, General Managers and Legislators",Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
686,1977,Male,Construction,Building Construction,Labourers,Construction and Mining Labourers,Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
181,1990,Male,Construction,Building Construction,Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
1243,1962,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
429,1984,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
721,1976,Female,Retail Trade,Other Store-Based Retailing,Technicians and trades ,Electrotechnology and Telecommunications Trades ,Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
271,1987,Male,Information Media and Telecommunications,Telecommunications Services,Technicians and trades ,Electrotechnology and Telecommunications Trades ,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
714,1976,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Technicians and trades ,"Engineering, ICT and Science Technicians",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
1018,1968,Female,Construction,Construction Services,Clerical and administrative ,General Clerical ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
309,1986,Female,Retail Trade,Other Store-Based Retailing,Professionals,Health Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
250,1988,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,Health Professionals,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
303,1987,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Community and personal service ,Hospitality ,Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
369,1985,Male,Manufacturing,"Textile, Leather, Clothing and Footwear Manufacturing",Community and personal service ,Hospitality ,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
601,1978,Female,Accommodation and Food Services,Food and Beverage Services,Managers,"Hospitality, Retail and Service Managers",Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1197,1963,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Managers,"Hospitality, Retail and Service Managers",Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
694,1976,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,ICT Professionals,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
526,1980,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
282,1987,Male,Accommodation and Food Services,Food and Beverage Services,Sales ,Sales Assistants and Salespersons,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
161,1990,Female,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Assistants and Salespersons,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro
557,1980,Female,Retail Trade,Other Store-Based Retailing,Sales ,Sales Assistants and Salespersons,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
519,1981,Male,Construction,Building Construction,Managers,Specialist Managers,Between 5 and 19,NA,Couple with dependent children,Between 1 and 5 years,Metro
778,1974,Male,Manufacturing,Food Product Manufacturing,Managers,Specialist Managers,Between 5 and 19,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1216,1963,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Professionals,Arts and Media Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro
706,1976,Female,Education and Training,"Adult, Community and Other Education",Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1463,1957,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",I am the only employee,NA,Couple with dependent children,Between 1 and 5 years,Metro
1394,1959,Male,"Transport, Postal and Warehousing",Warehousing and Storage Services,Managers,"Chief Executives, General Managers and Legislators",I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro
4,2000,Female,Education and Training,Preschool and School Education,Professionals,Education Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro
1290,1961,Female,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro
1065,1966,Female,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Labourers,Other Labourers,I am the only employee,No,Couple with dependent children,Between 1 and 5 years,Metro
533,1980,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Managers,Specialist Managers,I am the only employee,Yes,Couple with dependent children,Between 1 and 5 years,Metro
713,1976,Female,"Transport, Postal and Warehousing",Transport Support Services,Professionals,Arts and Media Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
267,1987,Female,Financial and Insurance Services,Auxiliary Finance and Insurance Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
397,1984,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
800,1973,Male,Financial and Insurance Services,Finance,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
622,1978,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
106,1992,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
32,1996,Female,"Rental, Hiring and Real Estate Services",Property Operators and Real Estate Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
998,1968,Male,Information Media and Telecommunications,Telecommunications Services,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
670,1977,Female,Education and Training,Tertiary Education,Professionals,"Business, Human Resource and Marketing Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
886,1971,Female,Arts and Recreation Services,Creative and Performing Arts Activities,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
116,1991,Female,Financial and Insurance Services,Finance,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
995,1968,Male,Manufacturing,Furniture and Other Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
868,1971,Male,Wholesale Trade,"Grocery, Liquor and Tobacco Product Wholesaling",Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
293,1987,Male,Manufacturing,Machinery and Equipment Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
356,1985,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
340,1986,Male,Retail Trade,Motor Vehicle and Motor Vehicle Parts Retailing,Managers,"Chief Executives, General Managers and Legislators",More than 200,NA,Couple with dependent children,Between 1 and 5 years,Metro
734,1975,Male,Manufacturing,Non-Metallic Mineral Product Manufacturing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
986,1969,Female,Retail Trade,Other Store-Based Retailing,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
313,1986,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
927,1970,Male,Information Media and Telecommunications,Telecommunications Services,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
29,1996,Female,Education and Training,Tertiary Education,Managers,"Chief Executives, General Managers and Legislators",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
441,1983,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Clerical and Office Support ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
645,1977,Female,Construction,Construction Services,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
325,1986,Male,"Electricity, Gas, Water and Waste Services",Electricity Supply,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
1145,1964,Male,"Electricity, Gas, Water and Waste Services",Gas Supply,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
522,1981,Female,Information Media and Telecommunications,"Internet Service Providers, Web Search Portals and Data Processing Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,NA,Couple with dependent children,Between 1 and 5 years,Metro
69,1994,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
740,1975,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
1023,1968,Male,Public Administration and Safety,"Public Order, Safety and Regulatory Services",Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
464,1982,Female,"Transport, Postal and Warehousing",Road Transport,Professionals,"Design, Engineering, Science and Transport Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
674,1977,Female,Education and Training,"Adult, Community and Other Education",Professionals,Education Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
269,1987,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
943,1970,Female,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
829,1972,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
869,1971,Male,Education and Training,Tertiary Education,Professionals,Education Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
333,1986,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Managers,Farmers and Farm Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1378,1959,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
504,1981,Female,Other Services,Personal and Other Services,Clerical and administrative ,General Clerical ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
31,1996,Female,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
608,1978,Male,Health Care and Social Assistance,Hospitals,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
809,1973,Male,Health Care and Social Assistance,Medical and Other Health Care Services,Professionals,Health Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
414,1984,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
614,1978,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
857,1972,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
966,1969,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
651,1977,Male,Financial and Insurance Services,Finance,Professionals,ICT Professionals,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
30,1996,Male,Information Media and Telecommunications,Internet Publishing and Broadcasting,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
346,1985,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
539,1980,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
846,1972,Male,Public Administration and Safety,Public Administration,Professionals,ICT Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
272,1987,Female,Accommodation and Food Services,Accommodation,Professionals,"Legal, Social and Welfare Professionals",More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
631,1978,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
634,1978,Male,"Professional, Scientific and Technical Services",Computer System Design and Related Services,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
492,1981,Male,Public Administration and Safety,Public Administration,Professionals,"Legal, Social and Welfare Professionals",More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
894,1971,Female,Construction,Building Construction,Clerical and administrative ,Numerical Clerks,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
274,1987,Female,Mining,Coal Mining,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
291,1987,Female,Mining,Oil and Gas Extraction,Clerical and administrative ,Office Managers and Program Administrators,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
36,1996,Female,Administrative and Support Services,Administrative Services,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
582,1979,Female,Education and Training,Preschool and School Education,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
665,1977,Female,Public Administration and Safety,Public Administration,Clerical and administrative ,Other Clerical and Administrative ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
57,1995,Female,Retail Trade,Other Store-Based Retailing,Technicians and trades ,Other Technicians and Trades ,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
12,1999,Female,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Clerical and administrative ,Personal Assistants and Secretaries,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
925,1970,Female,Financial and Insurance Services,Finance,Sales ,Sales Assistants and Salespersons,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
82,1993,Male,Financial and Insurance Services,Insurance and Superannuation Funds,Sales ,Sales Representatives and Agents,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
745,1975,Female,Wholesale Trade,Other Goods Wholesaling,Sales ,Sales Representatives and Agents,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
981,1969,Male,Construction,Building Construction,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
170,1990,Male,Retail Trade,Food Retailing,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
903,1971,Male,Retail Trade,Food Retailing,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
536,1980,Male,Health Care and Social Assistance,Hospitals,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
505,1981,Female,Retail Trade,Non-Store Retailing and Retail Commission-Based Buying and/or Selling,Managers,Specialist Managers,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro
80,1993,Male,"Professional, Scientific and Technical Services","Professional, Scientific and Technical Services",Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
1237,1962,Male,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
5,2000,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
577,1979,Male,Information Media and Telecommunications,Telecommunications Services,Managers,Specialist Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro
