response_id,most_significant_barrier_1,least_significant_barrier_1,most_significant_barrier_2,least_significant_barrier_2,most_significant_barrier_3,least_significant_barrier_3,most_significant_barrier_4,least_significant_barrier_4,most_significant_barrier_5,least_significant_barrier_5,most_significant_barrier_6,least_significant_barrier_6,most_significant_barrier_7,least_significant_barrier_7,most_significant_barrier_8,least_significant_barrier_8,most_significant_barrier_9,least_significant_barrier_9,most_significant_barrier_10,least_significant_barrier_10
11,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
12,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
13,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
14,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
15,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
16,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
17,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
18,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
19,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
20,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
21,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
22,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
23,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
24,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
25,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
26,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
27,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
28,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
29,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
30,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
31,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
32,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
33,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
34,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
35,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
36,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
37,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
38,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
39,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
40,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
41,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
42,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
43,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
44,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
45,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
46,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
47,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
48,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
49,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
50,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
51,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
52,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
53,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
54,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
55,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
56,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
57,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
58,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
59,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
60,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
61,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
62,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
63,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
64,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
65,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
66,Caring responsibilities,Caring responsibilities,Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Connectivity (internet connection),Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Caring responsibilities,Cyber security,Cyber security,Cyber security,Cyber security,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)"
