response_id,remote_work_time_last_year,org_encouraged_remote_last_year,org_prepared_remote_last_year,remote_common_last_year,remote_permission_last_year,remote_collaboration_last_year,recommend_remote_last_year,preferred_remote_time_last_year,remote_work_time_last_3_months,org_encouraged_remote_3_months,org_prepared_remote_3_months,remote_common_3_months,remote_permission_3_months
63,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree
64,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
65,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
66,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
67,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
68,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree
69,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
70,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
71,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
72,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
73,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree
74,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,NA,NA
75,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
76,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
77,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
78,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
79,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
80,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
81,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
82,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
83,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
84,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
85,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
86,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
87,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
88,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
89,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
90,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
91,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
92,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
93,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
94,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
95,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
96,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
97,10%,NA,NA,NA,NA,NA,NA,10%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
98,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
99,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree
100,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
101,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
102,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
103,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
104,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
105,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree
106,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
107,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
108,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
109,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree
110,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
111,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
112,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
113,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
114,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
115,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
116,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
117,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree
118,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
119,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
120,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
121,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
122,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree
123,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
124,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
125,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
126,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
127,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
128,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
129,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
130,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
131,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
132,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree
133,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
134,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
135,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
136,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
137,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
138,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
139,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
140,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
141,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
142,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
143,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
144,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
145,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,NA,NA
146,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
147,10%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
148,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
149,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
150,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
151,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
152,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
153,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
154,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
155,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
156,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
157,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
158,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
159,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
160,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
161,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
162,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
163,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
164,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree
165,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree
166,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
167,20%,NA,NA,NA,NA,NA,NA,20%,20%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
168,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,NA,NA
169,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
170,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
171,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
172,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
173,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree
174,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
175,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
176,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
177,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
178,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
179,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
180,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
181,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
182,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
183,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
184,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
185,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
186,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
187,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
188,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
189,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
190,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
191,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
192,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
193,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
194,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
195,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
196,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
197,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree
198,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
199,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
200,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree
201,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
202,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
203,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
204,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
205,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
206,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
207,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree
208,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree
209,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
210,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
211,20%,NA,NA,NA,NA,NA,NA,20%,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree
